field_0,dust,type,project,description,installs,links
4042,1855,O,spellutils,Utilities to spell-check selectively,275,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=717189
4043,62,RFP,sphinx-autobuild,Automatically rebuild Sphinx documentation,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=901505
4044,823,O,spice-xpi,XPI client for interacting with SPICE servers,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=798445
4045,590,RFP,spigot.py,Post to the Pump.io social network automatically from (R[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=792607
4046,492,RFP,spinecreator,A GUI for the creation and analysis of neural models usi[..],1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=810045
4047,476,RFP,spineml-2-brahms,Convert SpineML models for execution in brahms,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=742517
4048,492,RFP,spineml-preflight,Simulator independent initial processing for SpineML models,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=810026
4049,1405,RFA,splash,Visualisation tool for Smoothed Particle Hydrodynamics s[..],276,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=764684
4050,331,RFP,splat-vo,Spectral Analysis Tool for Virtual Observatory,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=827354
4051,714,O,splint,tool for statically checking C programs for bugs,938,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=836076
4052,797,O,splitvt,run two programs in a split screen,201,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=826854
4053,962,RFP,spot-on,research project using a variety of unique communication[..],1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=736968
4054,42,O,spotweb,web interface to search and filter Usenet spots,12,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=903001
4055,565,RFP,spro,Speech signal processing toolkit for feature extraction,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=664803
4056,1479,RFP,sprop,simple X property utility,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=582868
4057,2255,O,sprox,Python library to generate web widgets from database schemas,15,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=658924
4058,40,RFP,spyder-kernels,Jupyter kernels for the Spyder console,2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=903136
4059,34,RFP,spyder-terminal,plugin to display a virtual terminal within the Spyder IDE,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=859880
4060,962,RFP,sqlite3dbm,A sqlite-backed dict conforming to the dbm interface,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=719345
